TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
SRVD11;9,65;1,30;7,10;1.104,55;9,83;;;131.157.492,48;7,00;Ativa;
TOUR11;8,80;1.465,68;;340.762,05;;;;0,00;0,00;Ativa;
BLCA11;100,00;0,53;1,01;62.917,38;7,03;;;158.358.513,15;83,00;Ativa;
EQIN11;92,00;12,17;0,95;510.388,83;9,27;-29,53;;139.997.733,91;7.785,00;Ativa;
MATV11;97,57;3,59;0,99;41.848,50;2,03;;;34.289.358,69;200,00;Ativa;
MGHT11;88,25;9,39;0,88;20.942,13;1,15;;;131.018.947,00;597,00;Ativa;
AQLL11;385,03;0,00;0,44;641,83;0,00;;;86.503.259,08;37,00;Ativa;
RDPD11;56,79;9,63;0,95;161.081,79;4,09;3,49;-13,58;64.314.048,67;887,00;Ativa;
RNDP11;599,88;7,56;0,89;21.619,92;29,54;-7,01;-14,60;72.381.273,37;895,00;Ativa;
RBGS11;28,45;5,09;0,31;49.400,90;0,52;4,91;-12,98;97.865.283,71;2.808,00;Passiva;
HSAF11;94,75;11,68;0,99;395.510,00;1,57;;;170.274.904,76;5.046,00;Ativa;
RECR11;103,27;13,48;1,08;6.433.420,78;1,98;16,09;-0,87;2.311.895.011,83;143.931,00;Ativa;
VXXV11;863,00;0,00;1,24;1.253.201,73;1,55;;;122.892.339,37;10,00;Ativa;
LOFT11B;29,90;0,67;0,48;2.138,00;20,17;;;123.293.321,95;1,00;Ativa;
XPLG11;98,45;6,88;0,90;5.091.664,10;3,97;-1,41;-1,33;2.972.040.961,71;275.489,00;Ativa;
CNES11;33,15;3,99;0,38;11.918,10;5,72;-15,20;-24,49;255.435.601,04;2.245,00;Passiva;
HOSI11;73,00;7,84;0,79;19.095,25;12,66;;;52.996.711,07;2.143,00;Ativa;
XPPR11;64,10;8,89;0,78;1.152.000,65;3,66;;;602.678.994,00;50.786,00;Ativa;
XBXO11;0,00;0,00;;;0,12;;;293.926.028,01;4,00;Ativa;
TORM13;142,00;44,66;;2.317,56;;;11,05;0,00;0,00;Ativa;
WTSP11B;44,50;6,62;0,59;923,44;0,16;-14,31;;75.308.631,07;203,00;Ativa;
BLMR11;7,60;9,21;0,88;648.623,03;7,19;;;220.597.474,78;7.312,00;Ativa;
PVBI11;86,68;6,91;0,87;2.311.965,18;4,39;;;997.225.783,64;57.114,00;Ativa;
VSLH11;9,61;15,54;0,97;1.708.316,40;3,10;;;294.618.792,24;44.732,00;Ativa;
